company,website,location,coverage,business_type,fleet_categories,whatsapp_number,phone,online_booking,whatsapp_available,whatsapp_automation_evidence,ai_chatbot_evidence,human_whatsapp_evidence,daily,weekly,monthly,long_term,airport_pickup,hotel_delivery,home_delivery,deposit_policy,insurance,payment_methods,documents_required,age_requirement,mileage_policy,fuel_policy,cancellation_policy,extension_policy,roadside_assistance,languages,interesting_features,source_urls,evidence_notes
"SelfDrive Mobility","https://www.selfdrive.ae/","Dubai (HQ)","UAE 7 emirates + UK, KSA, Oman, Kuwait, Qatar, Bahrain, Turkey, Singapore","Standard + monthly subscription + leasing + rent-to-own","Economy, sedan, SUV, luxury, exotic","Unknown (WhatsApp offered; number not extracted)","Unknown","YES - app and web booking, instant confirmation via own fleet management system","YES - site says contact via Call/WhatsApp","NONE FOUND on WhatsApp","YES - SIA conversational AI, 40+ languages, trained on 2.5m sessions, launched 18 Nov 2025, WEB + APP ONLY","YES - Call/WhatsApp offered alongside SIA","YES","YES","YES - monthly subscription, no long-term commitment","YES - personal and corporate leasing, rent-to-own","YES","YES","YES","Refundable; SD Wallet refund in 2-3 days or original method within 30 working days; zero-deposit on selected models","Unknown","Mastercard, Visa, Amex, Apple Pay, Pay-by-Link","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","40+ via SIA incl. English, Arabic, Hindi, Mandarin, Malayalam, Russian, Tamil, Marathi, Bengali","Only verified conversational-AI rental booking system in the region; +25% AI-driven bookings since soft launch; SIA-exclusive discounts (AED 100 off monthly, AED 50 off daily/weekly); intelligent Hot Keys claimed 3x faster","https://www.selfdrive.ae/ | https://www.khaleejtimes.com/kt-network/selfdrive-mobility-launches-the-regions-first-conversational-ai-car-rental-reservation-system","CRITICAL NUANCE: SIA is web/app only per launch materials. WhatsApp is a separate human channel. Do NOT claim SelfDrive has a WhatsApp AI agent."
"OneClickDrive","https://www.oneclickdrive.com/","Dubai","UAE (Dubai, Abu Dhabi, Sharjah, Ajman, RAK, Fujairah, UAQ, Al Ain) + Morocco, Georgia, Jordan, Kuwait, Oman, Qatar, KSA, Turkey, UK","Marketplace / aggregator (subscription model, no commission)","All - economy from AED 30/day to supercars","Per-supplier click-to-chat","Per-supplier","NO - platform does not take the booking; it routes to the supplier","YES - core mechanic: connects customer to supplier via WhatsApp or call","Routing only; no evidence of AI on routed conversations","NONE FOUND","YES - conversation is with the supplier's human team","YES","YES","YES","Unknown","YES","Unknown","Unknown","Per-supplier","Per-supplier","Paid directly to provider; no booking fee or markup","Per-supplier","Per-supplier","Per-supplier","Per-supplier","Per-supplier","Per-supplier","Per-supplier","Unknown","Suppliers pay a subscription to list; no commission; listings show photos and transparent prices; 35+ cities","https://www.oneclickdrive.com/ | https://www.oneclickdrive.com/car-rental-app | https://www.oneclickdrive.com/list-your-car-rental-marketplace | https://campaignme.com/oneclickdrive-dominates-the-car-rental-dubai-scene-with-unmatched-choices-deals/","STRATEGICALLY IMPORTANT: a major reason WhatsApp is the default booking channel in Dubai. Generates inbound WhatsApp leads to hundreds of operators."
"eZhire","https://www.ezhire.ae/","Dubai","UAE 8 cities + Bahrain, Qatar","Delivery-first app rental, subscription, subscribe-to-own, with-driver","Economy to luxury","YES - WhatsApp link on site","+971 4 459 4600","YES - full booking in app","YES - support channel","NONE FOUND","NONE FOUND - support described as in-app chat / WhatsApp / phone","YES","YES","YES","YES","YES - subscriptions 3+ months; subscribe-to-own within 3 years","YES","YES","YES - doorstep delivery","NO DEPOSIT REQUIRED - stated across all rental types","Unknown","Credit card, Apple Pay, Tabby (BNPL)","National ID or passport; driving licence (home country or international); copy of debit/credit card - all uploaded in app","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Digital KYC with no office visit; 'Instant Delivery From 10 Mins'; delivery in ~1 hour; one-way inter-emirate trips allowed","https://www.ezhire.ae/","Best example of fully digital document collection + no-deposit at scale. App-first, not WhatsApp-first."
"Renty.ae","https://renty.ae/","Dubai","Dubai / UAE","Broad - economy through supercar; 2,000+ vehicles","Economy AED 81+/day; luxury AED 2,100+/day; sports; hourly AED 220-300/hr","+971 55 856 9266","+971 55 856 9266","YES - online reservation","YES - booking can be completed via WhatsApp or Telegram","NONE FOUND","NONE FOUND","YES - 24/7 support via WhatsApp, Telegram, phone, email","YES","YES","YES","Unknown","YES - free delivery incl. airports (customer pays airport parking fee)","YES","YES","Security deposit standard, refunded within 28 days after inspection; 'no deposit' option on select vehicles","Included in rate; optional comprehensive CASCO upgrade","Credit/debit card, cash, bank transfer, crypto (USDT, Bitcoin)","Tourists: passport, visit visa, home licence, IDP. Residents: Emirates ID + UAE licence","Unknown","250-300 km/day typical; excess charges beyond","Unknown","Unknown","Unknown","Unknown","English, Arabic, Russian, French, German, Italian, Dutch, Spanish, Chinese, Turkish","Widest verified language support of any operator site in the dataset; crypto accepted; multichannel (web + WhatsApp + Telegram)","https://renty.ae/","Strong benchmark for multilingual + multichannel. No automation evidence found."
"Superior Car Rental","https://superiorrental.ae/","Dubai","Dubai / UAE","Luxury, sports, supercar","Luxury sedans AED 5,499/day (Rolls-Royce Phantom); premium SUV AED 4,499/day (Urus SE); convertibles AED 2,999-3,999; sports AED 3,999","+971 56 441 4344","+971 56 441 4344","YES - 'Reserve in seconds on WhatsApp or book online'","YES - 'Instant WhatsApp booking' 24/7, primary channel","NONE FOUND","NONE FOUND - no chat widget or chatbot mentioned","YES","YES","YES","YES","Unknown","YES - free delivery to UAE airports","YES - free hotel delivery","YES","NO CASH DEPOSIT; refundable pre-authorisation, standard AED 2,000 across fleet, released after return and inspection","Comprehensive per UAE regulation; CDW optional per vehicle; tyre/rim damage excluded from standard cover AND CDW","Credit card required for pre-authorisation","Valid driving licence, passport copy, credit card in main driver's name; residents Emirates ID; visitors may need IDP","Unknown","Daily allowance varies by class; per-km surcharge over limit","Unknown","Unknown","Extensions mentioned","24/7 around-the-clock support","Unknown","Free delivery UAE-wide within 60 minutes of booking, 24/7; explicit pre-auth model instead of cash deposit; concierge; 3+1 free day promo","https://superiorrental.ae/","Cleanest published deposit/insurance model in the luxury segment. Good template for our terms-confirmation step."
"Octane.Rent","https://octane.rent/","Dubai","Dubai / UAE","Luxury, sports, supercar, commercial vans; 400+ fleet claimed","SUV, luxury, sports, convertible, electric, sedan, van, 7-seater, economy, camper van; from AED 130/day","Unknown (WhatsApp icon in header)","+971 4 253 6700","Unknown - no online booking form observed","YES - 'confirm by WhatsApp or Telegram with a reply within 5 minutes, around the clock'","NONE FOUND - 5-minute human reply SLA implies a staffed desk","NONE FOUND","YES","YES","YES","YES","YES","YES - 24/7 airport delivery","YES","YES","Zero deposit marketed; FAQ states deposits are 'mostly used to cover RTA fines and Salik'","Comprehensive insurance stated","Unknown","Unknown","18 minimum stated in FAQ; notes most companies require 25 with 3 years' experience","Extra mileage costs charged","Fuel charges applied","Unknown","Extra days of rent charged","24/7 services and maintenance","Unknown","5-minute reply SLA on WhatsApp/Telegram; 24/7 delivery and pick-up; 4.9 Google rating claimed; commercial/van fleet","https://octane.rent/ | https://octane.rent/faq/ | https://octane.rent/cars/ | https://octane.rent/commercial-vehicle-rental-dubai/","The 5-minute human SLA is the benchmark our AI must beat (target: under 10 seconds)."
"NCK Car Rental","https://www.nckcarrental.com/","Dubai","Dubai","Small independent - luxury, sports, SUV","93+ vehicles; AED 150/day (Corolla) to AED 6,500/day (Rolls-Royce Phantom)","+971 52 566 0040","+971 52 566 0040","Unknown","YES - PRIMARY: 'Send us a WhatsApp with your dates and preferred car - we confirm, deliver, and you drive'","NONE FOUND","NONE FOUND","YES","YES","YES","YES","Unknown","YES - 24/7 DXB and DWC","YES","YES - free to all major Dubai areas","NO SECURITY DEPOSIT on any vehicle","Basic third-party included; full comprehensive upgrade available","Bank transfer, Visa/Mastercard, cash AED, crypto (USDT TRC20, Bitcoin)","Tourists: passport, visit visa, home licence, IDP. Residents: Emirates ID + UAE licence","Unknown","Most cars NO mileage limit; select high-end 250 km/day with overage","Unknown","Unknown","Unknown","Unknown","Unknown","Free delivery Downtown, Marina, Palm Jumeirah, Business Bay, Jumeirah, Al Barsha, DXB, DWC; 1-3 hour delivery, express 1 hour possible","https://www.nckcarrental.com/","Purest example of 'WhatsApp IS the product' independent operator. The workflow our agent must replicate and beat."
"Rentico","https://rentico.ae/","Dubai","Dubai / UAE","Economy through luxury; no-deposit specialist","Economy from AED 88/day; luxury AED 800+/day","+971 55 626 6457","Unknown","YES - online search and booking; 'you pay the full rental amount when you receive the car'","YES","NONE FOUND","NONE FOUND","YES","YES","YES","YES","Unknown","YES - DXB AED 99, DWC AED 149","YES","YES - free delivery on rentals over AED 1,000 in Dubai; otherwise AED 99","No deposit with a small fee; refundable AED 2,000 deposit option for ages 18-21","CDW included; deductible AED 1,000-1,500","Visa, Mastercard, cash, Russian cards, bank transfer; no credit card required","Passport, driving licence front/back, IDP if applicable","18+ (18-21 requires AED 2,000 deposit)","250 km/day free; AED 1-5 per extra km","Unknown","Unknown","Unknown","Unknown","English, Russian, Arabic","MOST TRANSPARENT published fee table in the dataset (delivery fees, CDW deductible, per-km overage all published); accepts Russian cards","https://rentico.ae/ | https://rentico.ae/group/business/","Best model for the itemised binding quote our agent should generate. Explicit Russian-market targeting."
"Quick Lease","https://quicklease.ae/","Dubai (Al Barsha, Abu Hail, Al Quoz) + Abu Dhabi","UAE","Standard + monthly leasing + corporate + lease-to-own","Economy, sedan, crossover, SUV, luxury (Toyota, Nissan, BMW, Mercedes, Ferrari, Lamborghini)","+971 800 78425","800 78425 / +971 440 87300","YES","YES","NONE FOUND","NONE FOUND","YES - dedicated booking team","YES - from AED 65/day","YES","YES - from AED 999/month","YES - personal lease, corporate lease, lease-to-own","YES - airport returns available","Unknown","YES - free delivery and collection across UAE","'No Deposit' promotions on select vehicles","Included in rate","Multiple; pay-later or pay-now with 2% discount","Residents: Emirates ID, UAE licence, payment method. Tourists: passport, visa, home licence, IDP where required","Unknown","Varies by vehicle; excess-mileage charges apply; Salik included in select plans","Unknown","Unknown","Unknown","YES - 24/7 roadside assistance","Multi-language support stated","4 physical branches; toll-free WhatsApp number; customer portal; pickup points at metro stations and malls; corporate leasing","https://quicklease.ae/","Best example of the monthly/corporate segment - the segment with the most complex agent requirements (credit checks, contracts, fleet allocation)."
"Hertz UAE","https://www.hertz.ae/","Dubai + UAE nationwide","UAE","Global brand; corporate, airport, daily to monthly","Full range; 2,025+ vehicles claimed; 14 UAE locations","NONE FOUND","800 HERTZ (800 43789)","YES - full online reservation engine","NO - WhatsApp not offered as a contact method","N/A","NONE FOUND","N/A","YES","YES","YES","YES - long-term offers","YES - all DXB terminals, Abu Dhabi, Sharjah airports","Unknown","Unknown","Pre-authorisation model; specifics not published on homepage","'Transparent pricing with insurance included'","Unknown","Rental requirements page exists; specifics not extracted","Unknown","Unknown","Unknown","Unknown","Unknown","YES - 24hr breakdown and roadside assistance with all packages","English + Arabic site","Emirates Skywards and Blue Rewards loyalty integration; mobile app; branches incl. Dubai Marina, Business Bay, Motor City","https://www.hertz.ae/ | https://www.hertz.ae/rental-faqs/ | https://www.hertz.ae/blog/rental-car-accident-in-dubai-what-to-do-next/","THE CONTRAST CASE: global operator with a real booking engine and NO WhatsApp. Shows the market split between 'systems companies' and 'WhatsApp companies'."
